StripChart:,DataLogger1,,,
Date:, Fri Sep 11 17:31:47 2020,,,
,,,,
Number of Data Variables =,4,,,
Max Number of Data Points =,30000,,,
Number of Data Points =,3617,,,
Time Interval,0, to ,964.4,
,,,,
 ----- , ----- , ----- , ----- , ----- 
Time,PIC-118 - PV,PIC-118 - OP,SPRDSHT-1 - Cell Matrix (G-16),UIC-101 - OP
[seconds],[kPa],[%],[],[%]
0,294.769,42,37.6105,10
0.3,294.769,42,37.6105,10
0.6,294.769,42,37.6105,10
0.9,294.769,42,37.6105,10
1.1,294.769,42,37.6105,10
1.3,294.769,42,37.6105,10
1.6,294.769,42,37.6105,10
1.9,294.769,42,37.6105,10
2.2,294.769,42,37.6105,10
2.5,294.769,42,37.6105,10
2.8,294.769,42,37.6105,10
3.1,294.769,42,37.6105,10
3.4,294.769,42,37.6105,10
3.7,294.769,42,37.6105,10
4,294.769,42,37.6105,10
4.3,294.769,42,37.6105,10
4.6,294.769,42,37.6105,10
4.8,294.769,42,37.6105,10
5,294.769,42,37.6105,10
5.2,294.769,42,37.6105,10
5.4,294.769,42,37.6105,10
5.6,294.769,42,37.6105,10
5.8,294.769,42,37.6105,10
6,294.769,42,37.6105,10
6.2,294.769,42,37.6105,10
6.4,294.769,42,37.6105,10
6.6,294.769,42,37.6105,10
6.8,294.769,42,37.6105,10
7,294.769,42,37.6105,10
7.2,294.769,42,37.6105,10
7.4,294.769,42,37.6105,10
7.6,294.769,42,37.6105,10
7.8,294.769,42,37.6105,10
8,294.769,42,37.6105,10
8.2,294.769,42,37.6105,10
8.4,294.769,42,37.6105,10
8.6,294.769,42,37.6105,10
8.8,294.769,42,37.6105,10
9,294.769,42,37.6105,10
9.2,294.769,42,37.6105,10
9.4,294.769,42,37.6105,10
9.6,294.769,42,37.6105,10
9.8,294.769,42,37.6105,10
10,294.769,42,37.6105,10
10.2,294.769,42,37.6105,10
10.4,294.769,42,37.6105,10
10.6,294.769,42,37.6105,10
10.8,294.769,42,37.6105,10
11,294.769,42,37.6105,10
11.2,294.769,42,37.6105,10
11.4,294.769,42,37.6105,10
11.6,294.769,42,37.6105,10
11.8,294.769,42,37.6105,10
12,294.769,42,37.6105,10
12.2,294.769,42,37.6105,10
12.4,294.769,42,37.6105,10
12.6,294.769,42,37.6105,10
12.8,294.769,42,37.6105,10
13,294.769,42,37.6105,10
13.2,294.769,42,37.6105,10
13.4,294.769,42,37.6105,10
13.6,294.769,42,37.6105,10
13.8,294.769,42,37.6105,10
14,294.769,42,37.6105,10
14.2,294.769,42,37.6105,10
14.4,294.769,42,37.6105,10
14.6,294.769,42,37.6105,10
14.8,294.769,42,37.6105,10
15,294.769,42,37.6105,10
15.2,294.769,42,37.6105,10
15.4,294.769,42,37.6105,10
15.6,294.769,42,37.6105,10
15.8,294.769,42,37.6105,10
16,294.769,42,37.6105,10
16.2,294.769,42,37.6105,10
16.4,294.769,42,37.6105,10
16.6,294.769,42,37.6105,10
16.8,294.769,42,37.6105,10
17,294.769,42,37.6105,10
17.2,294.769,42,37.6105,10
17.4,294.769,42,37.6105,10
17.6,294.769,42,37.6105,10
17.8,294.769,42,37.6105,10
18,294.769,42,37.6105,10
18.2,294.769,42,37.6105,10
18.4,294.769,42,37.6105,10
18.6,294.769,42,37.6105,10
18.8,294.769,42,37.6105,10
19,294.769,42,37.6105,10
19.3,294.769,42,37.6105,10
19.6,294.769,42,37.6105,10
19.9,294.769,42,37.6105,10
20.2,294.769,42,37.6105,10
20.5,294.769,42,37.6105,10
20.8,294.769,42,37.6105,10
21.1,294.769,42,37.6105,10
21.4,294.769,42,37.6105,10
21.7,294.769,42,37.6105,10
22,294.769,42,37.6105,10
22.3,294.769,42,37.6105,10
22.6,294.769,42,37.6105,10
22.9,294.769,42,37.6105,10
23.2,294.769,42,37.6105,10
23.5,294.769,42,37.6105,10
23.8,294.769,42,37.6105,10
