time,/Bed-1.In.MoleFlow,/Bed-1.In.P,/Bed-1.In.MoleFlows.HYDROGEN_SULFIDE,/Bed-1.Out.T,/Bed-1.Out.MoleFlow,/Bed-2.In.MoleFlow,/Bed-2.In.MoleFlows.HYDROGEN_SULFIDE,/CRF1.In.MoleFlow,/CRF1.In.T,/CRF1.In.P,/Tail_Gas.In.MoleFlow,/Sep1.In.P,/Sep2.In.P,/Sep3.In.P,/Tail_Gas.In.T
s,kmol/h,kPa,kmol/h,C,kmol/h,kmol/h,kmol/h,kmol/h,C,kPa,kmol/h,kPa,kPa,kPa,C
1,2072.582713,285.9299038,194.6143989,409.9970457,2035.926079,1994.638576,231.6268802,2047.251311,33.30371488,291.4325134,1977.793024,346.3561592,315.8859771,291.4325134,159
2,2081.622826,286.9027793,195.4964038,410.2054833,2044.928211,2001.30844,232.4623545,2025.72372,33.44402576,292.3627861,1984.004138,346.3422902,315.8953772,292.3627861,159
3,2085.98973,287.5966429,195.9065233,410.2054833,2049.662702,2006.721523,233.0911122,2015.043341,33.59782681,293.0376745,1989.55643,346.5181611,316.0995398,293.0376745,159
4,2089.323383,288.1380485,196.2196046,410.2054833,2053.215048,2011.142604,233.6046437,2009.974472,33.70875973,293.5708836,1994.119568,346.7960307,316.3974799,293.5708836,159
5,2092.214077,288.591646,196.4910852,410.2054833,2056.242218,2014.82438,234.0323011,2008.749921,33.79147341,294.0200778,1997.908554,347.1223438,316.7350299,294.0200778,159
6,2094.838318,288.9875663,196.7375418,410.2054833,2058.95769,2017.989447,234.3999401,2008.450855,33.86779985,294.4162607,2001.147076,347.4705536,317.0835629,294.4162607,159
7,2099.678871,289.2253594,196.6069143,410.1986277,2063.149721,2022.555378,234.2518281,2011.131705,33.92419593,294.6534292,2005.34897,347.7662414,317.3924494,294.6534292,159
8,2100.887299,289.4281681,196.7200675,410.1986277,2064.403951,2024.363658,234.4612626,2013.201482,33.95596781,294.8650646,2007.451259,348.0351966,317.6661278,294.8650646,159
9,2101.869176,289.5847048,196.8120071,410.1986277,2065.457117,2025.809855,234.6287607,2015.384571,33.98137281,295.0335131,2008.956548,348.26434,317.9024669,295.0335131,159
10,2102.12794,289.6531767,196.8362369,410.1986277,2065.832315,2026.669159,234.7282851,2018.311785,33.99951032,295.1218778,2009.870654,348.4431487,318.0894739,295.1218778,159
11,2099.49796,289.4146716,196.5899743,410.1986277,2063.581335,2025.841972,234.6324805,2025.176483,34.00738877,294.9456283,2009.211762,348.5147943,318.1657022,294.9456283,159
12,2102.692866,289.5814669,197.2729324,410.1223411,2066.521105,2027.763776,235.1786841,2023.513105,33.97648394,295.0798333,2011.009497,348.5947485,318.2560223,295.0798333,159
13,2104.893297,289.8197115,197.4793751,410.1223411,2068.587768,2029.133725,235.3375699,2021.222485,33.98549028,295.2987856,2012.216781,348.7008417,318.380112,295.2987856,159
14,2106.685405,290.0461144,197.6475092,410.1223411,2070.373966,2030.681076,235.5170306,2019.884535,34.00859383,295.5133855,2013.724887,348.8232681,318.5260501,295.5133855,159
15,2108.454816,290.2765089,197.8135139,410.1223411,2072.134777,2032.322528,235.7074051,2018.692134,34.03299558,295.7383957,2015.350017,348.9641436,318.6900018,295.7383957,159
16,2110.033457,290.4909005,197.9616206,410.1223411,2073.730729,2033.922524,235.8929715,2018.098417,34.05666432,295.9501457,2016.95006,349.1147279,318.8623807,295.9501457,159
17,2094.511336,288.5789854,196.6426532,410.0240965,2058.152363,2016.966248,234.1093371,2032.756908,33.66613242,294.1085288,1999.934242,348.0882013,317.7598135,294.1085288,159
18,2099.629734,289.2481722,197.1231926,410.0240965,2063.407077,2021.312871,234.6138498,2020.618911,33.7838907,294.7377055,2004.143291,348.1623169,317.8644148,294.7377055,159
19,2103.204965,289.777262,197.4588522,410.0240965,2067.143162,2025.284251,235.074808,2014.021468,33.87528347,295.2497176,2008.155568,348.3458809,318.0857364,295.2497176,159
